utt_id,wav,speaker,text
SYN_C_020_T0000,wavs_synthetic_80k/SYN_C_020_T0000.wav,C_020,Később azonban a páciens állapota valamivel jobbra fordult
SYN_C_021_T0000,wavs_synthetic_80k/SYN_C_021_T0000.wav,C_021,Később azonban a páciens állapota valamivel jobbra fordult
SYN_C_022_T0000,wavs_synthetic_80k/SYN_C_022_T0000.wav,C_022,Később azonban a páciens állapota valamivel jobbra fordult
SYN_C_023_T0000,wavs_synthetic_80k/SYN_C_023_T0000.wav,C_023,Később azonban a páciens állapota valamivel jobbra fordult
SYN_C_024_T0000,wavs_synthetic_80k/SYN_C_024_T0000.wav,C_024,Később azonban a páciens állapota valamivel jobbra fordult
SYN_C_025_T0000,wavs_synthetic_80k/SYN_C_025_T0000.wav,C_025,Később azonban a páciens állapota valamivel jobbra fordult
SYN_C_026_T0000,wavs_synthetic_80k/SYN_C_026_T0000.wav,C_026,Később azonban a páciens állapota valamivel jobbra fordult
SYN_C_027_T0000,wavs_synthetic_80k/SYN_C_027_T0000.wav,C_027,Később azonban a páciens állapota valamivel jobbra fordult
SYN_C_028_T0000,wavs_synthetic_80k/SYN_C_028_T0000.wav,C_028,Később azonban a páciens állapota valamivel jobbra fordult
SYN_C_029_T0000,wavs_synthetic_80k/SYN_C_029_T0000.wav,C_029,Később azonban a páciens állapota valamivel jobbra fordult
SYN_C_030_T0000,wavs_synthetic_80k/SYN_C_030_T0000.wav,C_030,Később azonban a páciens állapota valamivel jobbra fordult
SYN_C_031_T0000,wavs_synthetic_80k/SYN_C_031_T0000.wav,C_031,Később azonban a páciens állapota valamivel jobbra fordult
SYN_C_032_T0000,wavs_synthetic_80k/SYN_C_032_T0000.wav,C_032,Később azonban a páciens állapota valamivel jobbra fordult
SYN_C_033_T0000,wavs_synthetic_80k/SYN_C_033_T0000.wav,C_033,Később azonban a páciens állapota valamivel jobbra fordult
SYN_C_036_T0000,wavs_synthetic_80k/SYN_C_036_T0000.wav,C_036,Később azonban a páciens állapota valamivel jobbra fordult
SYN_C_037_T0000,wavs_synthetic_80k/SYN_C_037_T0000.wav,C_037,Később azonban a páciens állapota valamivel jobbra fordult
SYN_C_038_T0000,wavs_synthetic_80k/SYN_C_038_T0000.wav,C_038,Később azonban a páciens állapota valamivel jobbra fordult
SYN_C_040_T0000,wavs_synthetic_80k/SYN_C_040_T0000.wav,C_040,Később azonban a páciens állapota valamivel jobbra fordult
SYN_C_041_T0000,wavs_synthetic_80k/SYN_C_041_T0000.wav,C_041,Később azonban a páciens állapota valamivel jobbra fordult
SYN_C_042_T0000,wavs_synthetic_80k/SYN_C_042_T0000.wav,C_042,Később azonban a páciens állapota valamivel jobbra fordult
SYN_C_001_T0001,wavs_synthetic_80k/SYN_C_001_T0001.wav,C_001,Érdekes vetületekre derülhet fény
SYN_C_002_T0001,wavs_synthetic_80k/SYN_C_002_T0001.wav,C_002,Érdekes vetületekre derülhet fény
SYN_C_003_T0001,wavs_synthetic_80k/SYN_C_003_T0001.wav,C_003,Érdekes vetületekre derülhet fény
SYN_C_004_T0001,wavs_synthetic_80k/SYN_C_004_T0001.wav,C_004,Érdekes vetületekre derülhet fény
SYN_C_005_T0001,wavs_synthetic_80k/SYN_C_005_T0001.wav,C_005,Érdekes vetületekre derülhet fény
SYN_C_006_T0001,wavs_synthetic_80k/SYN_C_006_T0001.wav,C_006,Érdekes vetületekre derülhet fény
SYN_C_007_T0001,wavs_synthetic_80k/SYN_C_007_T0001.wav,C_007,Érdekes vetületekre derülhet fény
SYN_C_008_T0001,wavs_synthetic_80k/SYN_C_008_T0001.wav,C_008,Érdekes vetületekre derülhet fény
SYN_C_009_T0001,wavs_synthetic_80k/SYN_C_009_T0001.wav,C_009,Érdekes vetületekre derülhet fény
SYN_C_010_T0001,wavs_synthetic_80k/SYN_C_010_T0001.wav,C_010,Érdekes vetületekre derülhet fény
SYN_C_011_T0001,wavs_synthetic_80k/SYN_C_011_T0001.wav,C_011,Érdekes vetületekre derülhet fény
SYN_C_012_T0001,wavs_synthetic_80k/SYN_C_012_T0001.wav,C_012,Érdekes vetületekre derülhet fény
SYN_C_013_T0001,wavs_synthetic_80k/SYN_C_013_T0001.wav,C_013,Érdekes vetületekre derülhet fény
SYN_C_014_T0001,wavs_synthetic_80k/SYN_C_014_T0001.wav,C_014,Érdekes vetületekre derülhet fény
SYN_C_015_T0001,wavs_synthetic_80k/SYN_C_015_T0001.wav,C_015,Érdekes vetületekre derülhet fény
SYN_C_016_T0001,wavs_synthetic_80k/SYN_C_016_T0001.wav,C_016,Érdekes vetületekre derülhet fény
SYN_C_017_T0001,wavs_synthetic_80k/SYN_C_017_T0001.wav,C_017,Érdekes vetületekre derülhet fény
SYN_C_018_T0001,wavs_synthetic_80k/SYN_C_018_T0001.wav,C_018,Érdekes vetületekre derülhet fény
SYN_C_020_T0001,wavs_synthetic_80k/SYN_C_020_T0001.wav,C_020,Érdekes vetületekre derülhet fény
SYN_C_021_T0001,wavs_synthetic_80k/SYN_C_021_T0001.wav,C_021,Érdekes vetületekre derülhet fény
SYN_C_022_T0001,wavs_synthetic_80k/SYN_C_022_T0001.wav,C_022,Érdekes vetületekre derülhet fény
SYN_C_023_T0001,wavs_synthetic_80k/SYN_C_023_T0001.wav,C_023,Érdekes vetületekre derülhet fény
SYN_C_024_T0001,wavs_synthetic_80k/SYN_C_024_T0001.wav,C_024,Érdekes vetületekre derülhet fény
SYN_C_025_T0001,wavs_synthetic_80k/SYN_C_025_T0001.wav,C_025,Érdekes vetületekre derülhet fény
SYN_C_026_T0001,wavs_synthetic_80k/SYN_C_026_T0001.wav,C_026,Érdekes vetületekre derülhet fény
SYN_C_027_T0001,wavs_synthetic_80k/SYN_C_027_T0001.wav,C_027,Érdekes vetületekre derülhet fény
SYN_C_028_T0001,wavs_synthetic_80k/SYN_C_028_T0001.wav,C_028,Érdekes vetületekre derülhet fény
SYN_C_029_T0001,wavs_synthetic_80k/SYN_C_029_T0001.wav,C_029,Érdekes vetületekre derülhet fény
SYN_C_030_T0001,wavs_synthetic_80k/SYN_C_030_T0001.wav,C_030,Érdekes vetületekre derülhet fény
SYN_C_031_T0001,wavs_synthetic_80k/SYN_C_031_T0001.wav,C_031,Érdekes vetületekre derülhet fény
SYN_C_032_T0001,wavs_synthetic_80k/SYN_C_032_T0001.wav,C_032,Érdekes vetületekre derülhet fény
SYN_C_033_T0001,wavs_synthetic_80k/SYN_C_033_T0001.wav,C_033,Érdekes vetületekre derülhet fény
SYN_C_036_T0001,wavs_synthetic_80k/SYN_C_036_T0001.wav,C_036,Érdekes vetületekre derülhet fény
SYN_C_037_T0001,wavs_synthetic_80k/SYN_C_037_T0001.wav,C_037,Érdekes vetületekre derülhet fény
SYN_C_038_T0001,wavs_synthetic_80k/SYN_C_038_T0001.wav,C_038,Érdekes vetületekre derülhet fény
SYN_C_040_T0001,wavs_synthetic_80k/SYN_C_040_T0001.wav,C_040,Érdekes vetületekre derülhet fény
SYN_C_041_T0001,wavs_synthetic_80k/SYN_C_041_T0001.wav,C_041,Érdekes vetületekre derülhet fény
SYN_C_042_T0001,wavs_synthetic_80k/SYN_C_042_T0001.wav,C_042,Érdekes vetületekre derülhet fény
SYN_C_001_T0002,wavs_synthetic_80k/SYN_C_001_T0002.wav,C_001,Cserelapként az első természetes lap lesz felütve
SYN_C_002_T0002,wavs_synthetic_80k/SYN_C_002_T0002.wav,C_002,Cserelapként az első természetes lap lesz felütve
SYN_C_003_T0002,wavs_synthetic_80k/SYN_C_003_T0002.wav,C_003,Cserelapként az első természetes lap lesz felütve
SYN_C_004_T0002,wavs_synthetic_80k/SYN_C_004_T0002.wav,C_004,Cserelapként az első természetes lap lesz felütve
SYN_C_005_T0002,wavs_synthetic_80k/SYN_C_005_T0002.wav,C_005,Cserelapként az első természetes lap lesz felütve
SYN_C_006_T0002,wavs_synthetic_80k/SYN_C_006_T0002.wav,C_006,Cserelapként az első természetes lap lesz felütve
SYN_C_007_T0002,wavs_synthetic_80k/SYN_C_007_T0002.wav,C_007,Cserelapként az első természetes lap lesz felütve
SYN_C_008_T0002,wavs_synthetic_80k/SYN_C_008_T0002.wav,C_008,Cserelapként az első természetes lap lesz felütve
SYN_C_009_T0002,wavs_synthetic_80k/SYN_C_009_T0002.wav,C_009,Cserelapként az első természetes lap lesz felütve
SYN_C_010_T0002,wavs_synthetic_80k/SYN_C_010_T0002.wav,C_010,Cserelapként az első természetes lap lesz felütve
SYN_C_011_T0002,wavs_synthetic_80k/SYN_C_011_T0002.wav,C_011,Cserelapként az első természetes lap lesz felütve
SYN_C_012_T0002,wavs_synthetic_80k/SYN_C_012_T0002.wav,C_012,Cserelapként az első természetes lap lesz felütve
SYN_C_013_T0002,wavs_synthetic_80k/SYN_C_013_T0002.wav,C_013,Cserelapként az első természetes lap lesz felütve
SYN_C_014_T0002,wavs_synthetic_80k/SYN_C_014_T0002.wav,C_014,Cserelapként az első természetes lap lesz felütve
SYN_C_015_T0002,wavs_synthetic_80k/SYN_C_015_T0002.wav,C_015,Cserelapként az első természetes lap lesz felütve
SYN_C_016_T0002,wavs_synthetic_80k/SYN_C_016_T0002.wav,C_016,Cserelapként az első természetes lap lesz felütve
SYN_C_017_T0002,wavs_synthetic_80k/SYN_C_017_T0002.wav,C_017,Cserelapként az első természetes lap lesz felütve
SYN_C_018_T0002,wavs_synthetic_80k/SYN_C_018_T0002.wav,C_018,Cserelapként az első természetes lap lesz felütve
SYN_C_020_T0002,wavs_synthetic_80k/SYN_C_020_T0002.wav,C_020,Cserelapként az első természetes lap lesz felütve
SYN_C_021_T0002,wavs_synthetic_80k/SYN_C_021_T0002.wav,C_021,Cserelapként az első természetes lap lesz felütve
SYN_C_022_T0002,wavs_synthetic_80k/SYN_C_022_T0002.wav,C_022,Cserelapként az első természetes lap lesz felütve
SYN_C_023_T0002,wavs_synthetic_80k/SYN_C_023_T0002.wav,C_023,Cserelapként az első természetes lap lesz felütve
SYN_C_024_T0002,wavs_synthetic_80k/SYN_C_024_T0002.wav,C_024,Cserelapként az első természetes lap lesz felütve
SYN_C_025_T0002,wavs_synthetic_80k/SYN_C_025_T0002.wav,C_025,Cserelapként az első természetes lap lesz felütve
SYN_C_026_T0002,wavs_synthetic_80k/SYN_C_026_T0002.wav,C_026,Cserelapként az első természetes lap lesz felütve
SYN_C_027_T0002,wavs_synthetic_80k/SYN_C_027_T0002.wav,C_027,Cserelapként az első természetes lap lesz felütve
SYN_C_028_T0002,wavs_synthetic_80k/SYN_C_028_T0002.wav,C_028,Cserelapként az első természetes lap lesz felütve
SYN_C_029_T0002,wavs_synthetic_80k/SYN_C_029_T0002.wav,C_029,Cserelapként az első természetes lap lesz felütve
SYN_C_030_T0002,wavs_synthetic_80k/SYN_C_030_T0002.wav,C_030,Cserelapként az első természetes lap lesz felütve
SYN_C_031_T0002,wavs_synthetic_80k/SYN_C_031_T0002.wav,C_031,Cserelapként az első természetes lap lesz felütve
SYN_C_032_T0002,wavs_synthetic_80k/SYN_C_032_T0002.wav,C_032,Cserelapként az első természetes lap lesz felütve
SYN_C_033_T0002,wavs_synthetic_80k/SYN_C_033_T0002.wav,C_033,Cserelapként az első természetes lap lesz felütve
SYN_C_036_T0002,wavs_synthetic_80k/SYN_C_036_T0002.wav,C_036,Cserelapként az első természetes lap lesz felütve
SYN_C_037_T0002,wavs_synthetic_80k/SYN_C_037_T0002.wav,C_037,Cserelapként az első természetes lap lesz felütve
SYN_C_038_T0002,wavs_synthetic_80k/SYN_C_038_T0002.wav,C_038,Cserelapként az első természetes lap lesz felütve
SYN_C_040_T0002,wavs_synthetic_80k/SYN_C_040_T0002.wav,C_040,Cserelapként az első természetes lap lesz felütve
SYN_C_041_T0002,wavs_synthetic_80k/SYN_C_041_T0002.wav,C_041,Cserelapként az első természetes lap lesz felütve
SYN_C_042_T0002,wavs_synthetic_80k/SYN_C_042_T0002.wav,C_042,Cserelapként az első természetes lap lesz felütve
SYN_C_001_T0003,wavs_synthetic_80k/SYN_C_001_T0003.wav,C_001,"Így van pénze fogorvosra, robotporszívóra stb"
SYN_C_002_T0003,wavs_synthetic_80k/SYN_C_002_T0003.wav,C_002,"Így van pénze fogorvosra, robotporszívóra stb"
SYN_C_003_T0003,wavs_synthetic_80k/SYN_C_003_T0003.wav,C_003,"Így van pénze fogorvosra, robotporszívóra stb"
SYN_C_004_T0003,wavs_synthetic_80k/SYN_C_004_T0003.wav,C_004,"Így van pénze fogorvosra, robotporszívóra stb"
SYN_C_005_T0003,wavs_synthetic_80k/SYN_C_005_T0003.wav,C_005,"Így van pénze fogorvosra, robotporszívóra stb"
SYN_C_006_T0003,wavs_synthetic_80k/SYN_C_006_T0003.wav,C_006,"Így van pénze fogorvosra, robotporszívóra stb"
SYN_C_007_T0003,wavs_synthetic_80k/SYN_C_007_T0003.wav,C_007,"Így van pénze fogorvosra, robotporszívóra stb"
SYN_C_008_T0003,wavs_synthetic_80k/SYN_C_008_T0003.wav,C_008,"Így van pénze fogorvosra, robotporszívóra stb"
SYN_C_009_T0003,wavs_synthetic_80k/SYN_C_009_T0003.wav,C_009,"Így van pénze fogorvosra, robotporszívóra stb"
SYN_C_010_T0003,wavs_synthetic_80k/SYN_C_010_T0003.wav,C_010,"Így van pénze fogorvosra, robotporszívóra stb"
SYN_C_011_T0003,wavs_synthetic_80k/SYN_C_011_T0003.wav,C_011,"Így van pénze fogorvosra, robotporszívóra stb"
SYN_C_012_T0003,wavs_synthetic_80k/SYN_C_012_T0003.wav,C_012,"Így van pénze fogorvosra, robotporszívóra stb"
SYN_C_013_T0003,wavs_synthetic_80k/SYN_C_013_T0003.wav,C_013,"Így van pénze fogorvosra, robotporszívóra stb"
SYN_C_014_T0003,wavs_synthetic_80k/SYN_C_014_T0003.wav,C_014,"Így van pénze fogorvosra, robotporszívóra stb"
SYN_C_015_T0003,wavs_synthetic_80k/SYN_C_015_T0003.wav,C_015,"Így van pénze fogorvosra, robotporszívóra stb"
SYN_C_016_T0003,wavs_synthetic_80k/SYN_C_016_T0003.wav,C_016,"Így van pénze fogorvosra, robotporszívóra stb"
SYN_C_017_T0003,wavs_synthetic_80k/SYN_C_017_T0003.wav,C_017,"Így van pénze fogorvosra, robotporszívóra stb"
SYN_C_018_T0003,wavs_synthetic_80k/SYN_C_018_T0003.wav,C_018,"Így van pénze fogorvosra, robotporszívóra stb"
SYN_C_020_T0003,wavs_synthetic_80k/SYN_C_020_T0003.wav,C_020,"Így van pénze fogorvosra, robotporszívóra stb"
SYN_C_021_T0003,wavs_synthetic_80k/SYN_C_021_T0003.wav,C_021,"Így van pénze fogorvosra, robotporszívóra stb"
SYN_C_022_T0003,wavs_synthetic_80k/SYN_C_022_T0003.wav,C_022,"Így van pénze fogorvosra, robotporszívóra stb"
SYN_C_023_T0003,wavs_synthetic_80k/SYN_C_023_T0003.wav,C_023,"Így van pénze fogorvosra, robotporszívóra stb"
SYN_C_024_T0003,wavs_synthetic_80k/SYN_C_024_T0003.wav,C_024,"Így van pénze fogorvosra, robotporszívóra stb"
SYN_C_025_T0003,wavs_synthetic_80k/SYN_C_025_T0003.wav,C_025,"Így van pénze fogorvosra, robotporszívóra stb"
SYN_C_026_T0003,wavs_synthetic_80k/SYN_C_026_T0003.wav,C_026,"Így van pénze fogorvosra, robotporszívóra stb"
SYN_C_027_T0003,wavs_synthetic_80k/SYN_C_027_T0003.wav,C_027,"Így van pénze fogorvosra, robotporszívóra stb"
SYN_C_028_T0003,wavs_synthetic_80k/SYN_C_028_T0003.wav,C_028,"Így van pénze fogorvosra, robotporszívóra stb"
SYN_C_029_T0003,wavs_synthetic_80k/SYN_C_029_T0003.wav,C_029,"Így van pénze fogorvosra, robotporszívóra stb"
SYN_C_030_T0003,wavs_synthetic_80k/SYN_C_030_T0003.wav,C_030,"Így van pénze fogorvosra, robotporszívóra stb"
SYN_C_031_T0003,wavs_synthetic_80k/SYN_C_031_T0003.wav,C_031,"Így van pénze fogorvosra, robotporszívóra stb"
SYN_C_032_T0003,wavs_synthetic_80k/SYN_C_032_T0003.wav,C_032,"Így van pénze fogorvosra, robotporszívóra stb"
SYN_C_033_T0003,wavs_synthetic_80k/SYN_C_033_T0003.wav,C_033,"Így van pénze fogorvosra, robotporszívóra stb"
SYN_C_036_T0003,wavs_synthetic_80k/SYN_C_036_T0003.wav,C_036,"Így van pénze fogorvosra, robotporszívóra stb"
SYN_C_037_T0003,wavs_synthetic_80k/SYN_C_037_T0003.wav,C_037,"Így van pénze fogorvosra, robotporszívóra stb"
SYN_C_038_T0003,wavs_synthetic_80k/SYN_C_038_T0003.wav,C_038,"Így van pénze fogorvosra, robotporszívóra stb"
SYN_C_040_T0003,wavs_synthetic_80k/SYN_C_040_T0003.wav,C_040,"Így van pénze fogorvosra, robotporszívóra stb"
SYN_C_041_T0003,wavs_synthetic_80k/SYN_C_041_T0003.wav,C_041,"Így van pénze fogorvosra, robotporszívóra stb"
SYN_C_042_T0003,wavs_synthetic_80k/SYN_C_042_T0003.wav,C_042,"Így van pénze fogorvosra, robotporszívóra stb"
SYN_C_001_T0004,wavs_synthetic_80k/SYN_C_001_T0004.wav,C_001,"Ma nem megyünk sehova, tegnap bevásároltunk"
SYN_C_002_T0004,wavs_synthetic_80k/SYN_C_002_T0004.wav,C_002,"Ma nem megyünk sehova, tegnap bevásároltunk"
SYN_C_003_T0004,wavs_synthetic_80k/SYN_C_003_T0004.wav,C_003,"Ma nem megyünk sehova, tegnap bevásároltunk"
SYN_C_004_T0004,wavs_synthetic_80k/SYN_C_004_T0004.wav,C_004,"Ma nem megyünk sehova, tegnap bevásároltunk"
SYN_C_005_T0004,wavs_synthetic_80k/SYN_C_005_T0004.wav,C_005,"Ma nem megyünk sehova, tegnap bevásároltunk"
SYN_C_006_T0004,wavs_synthetic_80k/SYN_C_006_T0004.wav,C_006,"Ma nem megyünk sehova, tegnap bevásároltunk"
SYN_C_007_T0004,wavs_synthetic_80k/SYN_C_007_T0004.wav,C_007,"Ma nem megyünk sehova, tegnap bevásároltunk"
SYN_C_008_T0004,wavs_synthetic_80k/SYN_C_008_T0004.wav,C_008,"Ma nem megyünk sehova, tegnap bevásároltunk"
SYN_C_009_T0004,wavs_synthetic_80k/SYN_C_009_T0004.wav,C_009,"Ma nem megyünk sehova, tegnap bevásároltunk"
SYN_C_010_T0004,wavs_synthetic_80k/SYN_C_010_T0004.wav,C_010,"Ma nem megyünk sehova, tegnap bevásároltunk"
SYN_C_011_T0004,wavs_synthetic_80k/SYN_C_011_T0004.wav,C_011,"Ma nem megyünk sehova, tegnap bevásároltunk"
SYN_C_012_T0004,wavs_synthetic_80k/SYN_C_012_T0004.wav,C_012,"Ma nem megyünk sehova, tegnap bevásároltunk"
SYN_C_013_T0004,wavs_synthetic_80k/SYN_C_013_T0004.wav,C_013,"Ma nem megyünk sehova, tegnap bevásároltunk"
SYN_C_014_T0004,wavs_synthetic_80k/SYN_C_014_T0004.wav,C_014,"Ma nem megyünk sehova, tegnap bevásároltunk"
SYN_C_015_T0004,wavs_synthetic_80k/SYN_C_015_T0004.wav,C_015,"Ma nem megyünk sehova, tegnap bevásároltunk"
SYN_C_016_T0004,wavs_synthetic_80k/SYN_C_016_T0004.wav,C_016,"Ma nem megyünk sehova, tegnap bevásároltunk"
SYN_C_017_T0004,wavs_synthetic_80k/SYN_C_017_T0004.wav,C_017,"Ma nem megyünk sehova, tegnap bevásároltunk"
SYN_C_018_T0004,wavs_synthetic_80k/SYN_C_018_T0004.wav,C_018,"Ma nem megyünk sehova, tegnap bevásároltunk"
SYN_C_020_T0004,wavs_synthetic_80k/SYN_C_020_T0004.wav,C_020,"Ma nem megyünk sehova, tegnap bevásároltunk"
SYN_C_021_T0004,wavs_synthetic_80k/SYN_C_021_T0004.wav,C_021,"Ma nem megyünk sehova, tegnap bevásároltunk"
SYN_C_022_T0004,wavs_synthetic_80k/SYN_C_022_T0004.wav,C_022,"Ma nem megyünk sehova, tegnap bevásároltunk"
SYN_C_023_T0004,wavs_synthetic_80k/SYN_C_023_T0004.wav,C_023,"Ma nem megyünk sehova, tegnap bevásároltunk"
SYN_C_024_T0004,wavs_synthetic_80k/SYN_C_024_T0004.wav,C_024,"Ma nem megyünk sehova, tegnap bevásároltunk"
SYN_C_025_T0004,wavs_synthetic_80k/SYN_C_025_T0004.wav,C_025,"Ma nem megyünk sehova, tegnap bevásároltunk"
SYN_C_026_T0004,wavs_synthetic_80k/SYN_C_026_T0004.wav,C_026,"Ma nem megyünk sehova, tegnap bevásároltunk"
SYN_C_027_T0004,wavs_synthetic_80k/SYN_C_027_T0004.wav,C_027,"Ma nem megyünk sehova, tegnap bevásároltunk"
SYN_C_028_T0004,wavs_synthetic_80k/SYN_C_028_T0004.wav,C_028,"Ma nem megyünk sehova, tegnap bevásároltunk"
SYN_C_029_T0004,wavs_synthetic_80k/SYN_C_029_T0004.wav,C_029,"Ma nem megyünk sehova, tegnap bevásároltunk"
SYN_C_030_T0004,wavs_synthetic_80k/SYN_C_030_T0004.wav,C_030,"Ma nem megyünk sehova, tegnap bevásároltunk"
SYN_C_031_T0004,wavs_synthetic_80k/SYN_C_031_T0004.wav,C_031,"Ma nem megyünk sehova, tegnap bevásároltunk"
SYN_C_032_T0004,wavs_synthetic_80k/SYN_C_032_T0004.wav,C_032,"Ma nem megyünk sehova, tegnap bevásároltunk"
SYN_C_033_T0004,wavs_synthetic_80k/SYN_C_033_T0004.wav,C_033,"Ma nem megyünk sehova, tegnap bevásároltunk"
SYN_C_036_T0004,wavs_synthetic_80k/SYN_C_036_T0004.wav,C_036,"Ma nem megyünk sehova, tegnap bevásároltunk"
SYN_C_037_T0004,wavs_synthetic_80k/SYN_C_037_T0004.wav,C_037,"Ma nem megyünk sehova, tegnap bevásároltunk"
SYN_C_038_T0004,wavs_synthetic_80k/SYN_C_038_T0004.wav,C_038,"Ma nem megyünk sehova, tegnap bevásároltunk"
SYN_C_040_T0004,wavs_synthetic_80k/SYN_C_040_T0004.wav,C_040,"Ma nem megyünk sehova, tegnap bevásároltunk"
SYN_C_041_T0004,wavs_synthetic_80k/SYN_C_041_T0004.wav,C_041,"Ma nem megyünk sehova, tegnap bevásároltunk"
SYN_C_042_T0004,wavs_synthetic_80k/SYN_C_042_T0004.wav,C_042,"Ma nem megyünk sehova, tegnap bevásároltunk"
SYN_C_001_T0005,wavs_synthetic_80k/SYN_C_001_T0005.wav,C_001,"A horgonyokat, ha azokat nem haszn"
SYN_C_002_T0005,wavs_synthetic_80k/SYN_C_002_T0005.wav,C_002,"A horgonyokat, ha azokat nem haszn"
SYN_C_003_T0005,wavs_synthetic_80k/SYN_C_003_T0005.wav,C_003,"A horgonyokat, ha azokat nem haszn"
SYN_C_004_T0005,wavs_synthetic_80k/SYN_C_004_T0005.wav,C_004,"A horgonyokat, ha azokat nem haszn"
SYN_C_005_T0005,wavs_synthetic_80k/SYN_C_005_T0005.wav,C_005,"A horgonyokat, ha azokat nem haszn"
SYN_C_006_T0005,wavs_synthetic_80k/SYN_C_006_T0005.wav,C_006,"A horgonyokat, ha azokat nem haszn"
SYN_C_007_T0005,wavs_synthetic_80k/SYN_C_007_T0005.wav,C_007,"A horgonyokat, ha azokat nem haszn"
SYN_C_008_T0005,wavs_synthetic_80k/SYN_C_008_T0005.wav,C_008,"A horgonyokat, ha azokat nem haszn"
SYN_C_009_T0005,wavs_synthetic_80k/SYN_C_009_T0005.wav,C_009,"A horgonyokat, ha azokat nem haszn"
SYN_C_010_T0005,wavs_synthetic_80k/SYN_C_010_T0005.wav,C_010,"A horgonyokat, ha azokat nem haszn"
SYN_C_011_T0005,wavs_synthetic_80k/SYN_C_011_T0005.wav,C_011,"A horgonyokat, ha azokat nem haszn"
SYN_C_012_T0005,wavs_synthetic_80k/SYN_C_012_T0005.wav,C_012,"A horgonyokat, ha azokat nem haszn"
SYN_C_013_T0005,wavs_synthetic_80k/SYN_C_013_T0005.wav,C_013,"A horgonyokat, ha azokat nem haszn"
SYN_C_014_T0005,wavs_synthetic_80k/SYN_C_014_T0005.wav,C_014,"A horgonyokat, ha azokat nem haszn"
SYN_C_015_T0005,wavs_synthetic_80k/SYN_C_015_T0005.wav,C_015,"A horgonyokat, ha azokat nem haszn"
SYN_C_016_T0005,wavs_synthetic_80k/SYN_C_016_T0005.wav,C_016,"A horgonyokat, ha azokat nem haszn"
SYN_C_017_T0005,wavs_synthetic_80k/SYN_C_017_T0005.wav,C_017,"A horgonyokat, ha azokat nem haszn"
SYN_C_018_T0005,wavs_synthetic_80k/SYN_C_018_T0005.wav,C_018,"A horgonyokat, ha azokat nem haszn"
SYN_C_020_T0005,wavs_synthetic_80k/SYN_C_020_T0005.wav,C_020,"A horgonyokat, ha azokat nem haszn"
SYN_C_021_T0005,wavs_synthetic_80k/SYN_C_021_T0005.wav,C_021,"A horgonyokat, ha azokat nem haszn"
SYN_C_022_T0005,wavs_synthetic_80k/SYN_C_022_T0005.wav,C_022,"A horgonyokat, ha azokat nem haszn"
SYN_C_023_T0005,wavs_synthetic_80k/SYN_C_023_T0005.wav,C_023,"A horgonyokat, ha azokat nem haszn"
SYN_C_024_T0005,wavs_synthetic_80k/SYN_C_024_T0005.wav,C_024,"A horgonyokat, ha azokat nem haszn"
