utt_id,speaker,reference,prediction,wer
C_004_0010_window_smallroom_LAO,C_004,Kisszoba bezárni a nap ablakokat,Kisszoban bezzárni a nagy a a plokotan,1.2
C_004_0001_vacuum_bathroom_OAL,C_004,Porszivo ki fürdőszob,Porcibo ki fürdőszobába,0.6666666666666666
C_004_1111_NULL_room_LA,C_004,Szoban csatornát válni,Szoban csatornát válni,0.0
C_004_NULL_toaster_kitchen_OL,C_004,Piritos konyhában,Pirítós konyhában,0.5
C_004_0001_curtain_room_LAO,C_004,Szoba felhúz függöny,Szoba fel húzd függöny,0.6666666666666666
C_004_0001_door_bathroom_LAO,C_004,Fürdőszoban nyit ajton,Fürdőszoban nyit ajtom,0.3333333333333333
C_004_0001_curtain_livingroom_LAO,C_004,Nagyszoban felhuz függöny,Nagyszoban felhúz függöny,0.3333333333333333
C_004_0010_curtain_kitchen_LAO,C_004,Konyhába húz be a függönyt,Konyhában húzd be a függöny,0.6
C_004_NULL_fan_smallroom_LO,C_004,Kisszoban telendilátor,Kisszoban fel lentilátor,1.0
C_005_0010_computer_room_AOL,C_005,Kapcsold be a számítógép et a szobában,Kapcsold be a számítógép  ret a szobában,0.14285714285714285
C_005_0010_radio_room_AOL,C_005,Kapcsold be a rádiót a szobában,Kapcsold be a rádiót a szobában,0.0
C_005_0010_door_livingroom_AOL,C_005,Zárd be a ajtót a nagyszobában ,Zárd be a für a ajtót a nagyszobában,0.3333333333333333
C_005_1000_shutter_room_AOL,C_005,Húzd fel a redőnyöket a szobában,Húzd fel a redőnyöket a szobában,0.0
C_005_0010_stove_kitchen_LAO,C_005,A konyhában kapcsold be a gázt,A konyhában kapcsold be a gázt,0.0
C_005_1000_electricity_smallroom_LAO,C_005,A kisszobában kapcsold fel a lámpát,A kisszobában kapcsold fel a lámpát,0.0
C_005_0001_window_room_LAO,C_005,A szobában kinyitjuk a a ablakot,A szobában kinyitjuk a aj a ablakot,0.16666666666666666
C_005_0100_electricity_livingroom_AOL,C_005,Kapcsold le a villanyt a nagyszobában,Kapcsold le a villany a nagyszobában,0.16666666666666666
C_005_1111_radio_kitchen_AOL,C_005,Kapcsold át a rádiót a konyhában,Kapcsold át a rádiót a konyhában,0.0
C_005_0010_fan_room_AOL,C_005,Kapcsold be a ventillátort a szobában,Kapcsold be a le a ventilátort a szobában,0.5
C_005_0001_window_livingroom_AOL,C_005,Kinyityuk a ablakot a nagyszobában,Kinyitjuk a ablakot a nagyszobában,0.2
C_005_1000_TV_smallroom_AOL,C_005,Hangosídd fel a tévét a kisszobában,Hangosítsd fel a tévét a kisszobában,0.16666666666666666
C_006_0001_curtain_smallroom_AOL,C_006,Húzd szét a függönyt a kisszobában,Húzd szét a függönyt a kisszobában,0.0
C_006_0010_vacuum_livingroom_AOL,C_006,Kapcsold be a porszívót a nagyszobában,Kapcsold be a porszívót a nagyszobában,0.0
C_006_0100_shutter_room_LAO,C_006,A szobában húzd le a redőnyt,A szobában húzd le a redőnyt,0.0
C_006_1000_TV_livingroom_AOL,C_006,Vedd feljebb a televíziót a nagyszobában,Vedd feljebb a televíziót a nagyszobában,0.0
C_006_0010_curtain_smallroom_AOL,C_006,Húzd be a függönyt a kisszobában,Húzd be a függönyt a kisszobában,0.0
C_006_0100_dishwasher_kitchen_LAO,C_006,A konyhában kapcsold be a mosogatógépet,A konyhában kapcsold be a mosogatógépet,0.0
C_006_1000_heating_smallroom_LAO,C_006,A kisszobában húzd fel a radiátort,A kisszobába húzd fel a radiátort,0.16666666666666666
C_006_0001_vacuum_room_LAO,C_006,A szobában kapcsold ki a porszívót,A szobában kapcsold ki a porszívót,0.0
C_006_0001_curtain_livingroom_AOL,C_006,Húzd szét a függönyt a nagyszobában,Húzd szét a függönyt a nagyszobában,0.0
C_006_1000_heating_bathroom_LAO,C_006,Fürdőszobában húzd fel a radiátort,Fürdőszobában húzd fel a radiátort,0.0
C_006_1000_shutter_room_LAO,C_006,A szobában hihúsz fel a redőnyt,A szobába nyícsd fel a redőnyt.,0.5
C_006_0100_electricity_bathroom_LAO,C_006,A fürdőszobában kapcsold le a villanyt,A fürdőszobában kapcsold be a villanyt,0.16666666666666666
C_006_0001_heating_kitchen_LAO,C_006,A konyhában kapcsold ki a radiátort,A konyhában kapcsold ki a radiátort,0.0
C_006_0001_curtain_bathroom_LAO,C_006,A fürdőszobábn húzd szét a függönyt,A fürdőszobában húzd szét a függönyt.,0.3333333333333333
C_006_0100_shutter_corridor_AOL,C_006,Húzd le a redőnyt a folyosón,Húzd le a redönyt a folyosón,0.16666666666666666
C_006_0001_computer_room_LAO,C_006,A szobában kapcsold ki a számítógépet,A szobában kapcsold ki a számítógépet,0.0
C_006_1000_electricity_livingroom_LAO,C_006,A nagyszobában kapcsold fel a villanyt,A nagyszobában kapcsold fel a villanyt,0.0
C_006_0001_fan_smallroom_AOL,C_006,Kapcsold ki a ventillárot a kisszobában,Kapcsold ki a ventillátort a kisszobában,0.16666666666666666
C_006_0010_heating_livingroom_AOL,C_006,Kapcsold be a radiátort a nagyszobában,Kapcsold be a radiátort a nagyszobában,0.0
C_006_0001_curtain_smallroom_LAO,C_006,A kisszöbában húzd szét a függönyt,A kisszobában húzd szét a függönyt,0.16666666666666666
C_006_0100_heating_kitchen_LAO,C_006,A konyhában húzd le a radiátort,A konyhában húzd le a radiátort,0.0
C_006_0100_heating_bathroom_LAO,C_006,A fürdőszobában húzd le a radiátort,A fürdőszobában húzd le a radiátort,0.0
C_006_0001_heating_livingroom_LAO,C_006,A nagyszobában kapcsold ki a radiátort,A nagyszobában kapcsold ki a radiátort,0.0
C_006_0001_window_corridor_LAO,C_006,A folyosón nyisd ki az ablakot,A folyosón nyisd ki az ablakot,0.0
C_006_0100_electricity_bathroom_AOL,C_006,Kapcsold le a villanyt a fürdőszobában,Kapcsold le a villanyt a fürdőszobában,0.0
C_006_0001_washingmaschine_bathroom_LAO,C_006,A fürdőszobábana kapcsold be a mosást harminc fokon,A fürdőszobában kapcsold be a mosást harminc fokra,0.25
C_006_1000_shutter_kitchen_LAO,C_006,A konyhában húzd fel a redőnyt,A konyhában húzd fel a redőnyt,0.0
C_007_0010_door_livingroom_AOL,C_007,Zárd be az ajtót a nagyszobában,Zárd be az ajtót a nagyobában.,0.16666666666666666
C_007_0001_curtain_kitchen_LAO,C_007,A konyhában húzd szét a függönyt,A konyhában húzd szét a függönyt,0.0
C_007_0010_toaster_kitchen_LAO,C_007,A konyhába kapcold be a pirítósz,A konyhában kapcsold be a pirítós.,0.5
C_007_1111_radio_kitchen_ALO,C_007,Vál csatornát a konyhában a rádión,Válts csatornát a konyhában a rádión,0.16666666666666666
C_007_0010_curtain_bathroom_LAO,C_007,A fürdőszobába húzd be a függönyt,A fürdőszobába húzd be a függönyt,0.0
C_007_0100_heating_smallroom_AOL,C_007,Húzd le ladiátort a kisszobában,Húzd le a radiátort a kisszobában,0.4
C_007_0001_heating_corridor_LAO,C_007,A folyoszon kapcsold ki a radiátort,Az folyosón kapcsold ki a radiátort,0.3333333333333333
C_007_1000_shutter_bathroom_LAO,C_007,A fürdőszobába húzd fel a redőnyt,A fürdőszobába húzd fel a a ledőnyt,0.3333333333333333
C_007_0010_washingmaschine_kitchen_AOL,C_007,Kapcsold be a mo mosógépet a konyhában hatvan fokon,Kapcsold be a múl mosógépet a konyhában hatvan fokon,0.1111111111111111
C_007_1000_heating_livingroom_LAO,C_007,A nagyszobában húzd fel a iladitátort,A nagycobában húzd fel a villaniátort,0.3333333333333333
C_007_0100_TV_livingroom_LAO,C_007,A nagyszobában halkítsd a tévét,A nagyszobában halkíts a tévét,0.2
C_007_0001_heating_room_LAO,C_007,A szobába kapcsold ki a radiátort,A szobában kapcsold ki a radiátort,0.16666666666666666
C_007_0001_door_bathroom_AOL,C_007,Nyiszd ki az ajtót a fürdőszobába,Nyiszd ki az ajtót a fürdőszobában,0.16666666666666666
C_007_1000_electricity_corridor_AOL,C_007,Kapcsold fel a villanyt a folyosón,Kapcsold fel a villany a folyosón,0.16666666666666666
C_007_0010_window_smallroom_AOL,C_007,Zárd be az ablakot a kisszubában,Zárd be az ablakot a kisszobában,0.16666666666666666
C_007_0010_window_livingroom_LAO,C_007,A nagyszobában zárd be a ablakot,Az nagyszobába zárd be a ablakot,0.3333333333333333
C_007_0001_heating_livingroom_AOL,C_007,Kapcsold ki a radiátort a nagyszobában,Kapcsold ki a radiátort a nagycobában,0.16666666666666666
C_007_0001_fan_livingroom_AOL,C_007,Kapcsold ki a ventillátort a nagyszobában,Kapcsold ki a ventillátort a nagycobában,0.16666666666666666
C_007_1000_electricity_bathroom_AOL,C_007,Kapcsold föl a villanyt a fürdőszobában,Kapcsold föl a villanyt a fürdőszobában,0.0
C_007_1000_TV_livingroom_AOL,C_007,Hangosíd a tévét a nagyszobában,Hangosít a tévét a nagycobában,0.4
C_007_0001_door_kitchen_AOL,C_007,Nyisd k iaz ajtot a konyhában,Nyisd ki az ajtót a konyhában,0.5
C_007_1000_heating_smallroom_AOL,C_007,Húzd fel a radiátort a kisszobában,Húzd fel a radiátort a kis szobában,0.3333333333333333
C_007_0100_electricity_corridor_AOL,C_007,Kapcsold le a villanyt a folyosón,Kapcsold le a villanyt a folyosón,0.0
C_007_0001_window_livingroom_AOL,C_007,Nyisd ki a a ablakot a nagyszobában,Nyisd ki a ablakot a nagyszobában,0.14285714285714285
C_007_0010_computer_smallroom_LAO,C_007,A kisszobában kapcsold be a számítógépet,A kisszobában kapcsold be a számítógépet,0.0
C_007_0100_electricity_bathroom_AOL,C_007,Kapcsold be a villanyt a fürdőszobába,Kapcsold be a villanyt a fürdőszobában,0.16666666666666666
C_007_0010_window_bathroom_LAO,C_007,A fürdőszobában zárd be az ablakot,A fürdőszobában zár be az ablakot,0.16666666666666666
C_008_1000_electricity_livingroom_AOL,C_008,Kapcsold fel a villanyt a nagyszobában,Kapcsold fel a villanyt a nagycobában,0.16666666666666666
C_008_1111_TV_livingroom_ALO,C_008,Válts csatornát a nagyszobában a tévén,Zvál csatornát a nagyszobában a kívín,0.3333333333333333
C_008_1000_TV_smallroom_AOL,C_008,Angosítsd fel a tévét a kisszobában,Angosítsd fel a tévét a kisszobában,0.0
C_008_0001_heating_kitchen_LAO,C_008,Konyhában kapcsold ki a radiátor,A konyhában kapcsold ki a radirátort,0.6
C_008_0001_curtain_corridor_AOL,C_008,Húzd szét a függöny a folyosón,Húzd szét a függönyt a folyosón,0.16666666666666666
C_008_0010_dishwasher_kitchen_LAO,C_008,A konyhában kapcsold be a mosogatógépet,A konyhában kapcsold be a mosogatógépet,0.0
C_008_0010_heating_kitchen_AOL,C_008,Kapcsold be a anitátor a konyhában,Kapcsold be a radirátor a konyhában,0.16666666666666666
C_008_0100_heating_livingroom_ALO,C_008,Úzd lejjebb a nagyszobában a radirátor,Húzd lejjebb a nagycobában a a  eh a nadirátort,1.0
C_008_0010_washingmaschine_bathroom_LOA,C_008,Fürdőszobában kapcsold be a mosógépet haszvan fokon,Fürdőszobában kapcsold be a mosógépet az van fokon,0.2857142857142857
C_008_0001_computer_room_LAO,C_008,A szobádon kikapcsolom szeámítógépet,A szobándort kikapcsorrom az elmítógépett,1.0
C_008_0010_fan_bathroom_LAO,C_008,A fürdőszobában kapcold be a ventilátor,A fürdőszobában kapcsold be a ventillátor,0.3333333333333333
C_008_0010_curtain_bathroom_AOL,C_008,Húzd be a függönyt a fürdőszobában,Húzd be a függönyt a fürdőszobában,0.0
C_008_0001_vacuum_bathroom_LAO,C_008,A fürdőszobában kapcsold ki a porszívót,A fürdőszobában kapcsold ki a porszívót,0.0
C_008_0001_curtain_kitchen_AOL,C_008,Húzd szét a függönyöket a konyhában,Úzd szét a függönyöket a konyhában,0.16666666666666666
C_008_1000_heating_room_AOL,C_008,Húzd feljebb a radidátort a szobában,Ózd feljebb a nadirátort a szobámban,0.5
C_008_0010_curtain_livingroom_LAO,C_008,A nagyszobában húzd be a függöny,A nagyszobában húzd be a függöny,0.0
C_008_1000_TV_livingroom_LAO,C_008,A nagyszobában angosítsd fel a tévét,A nagyszobámban angosítsd fel a tévét,0.16666666666666666
C_008_0100_electricity_smallroom_AOL,C_008,Kapcsold le a villanyt ké kisszobában,Kapcsold le a villanyt kisszobában,0.16666666666666666
C_008_0010_NULL_livingroom_AL,C_008,Kapcsold be a nagyszobában,Kapcsold be a nagycobában,0.25
C_008_0001_curtain_kitchen_LAO,C_008,A konyhában húzd két a függöny,A konyhában húzd szét a függöny,0.16666666666666666
C_008_1000_electricity_kitchen_AOL,C_008,Katvold fel a villanyt a konyhában,Kapcsold fel a villanyt a konyhában,0.16666666666666666
C_008_0010_computer_livingroom_ALO,C_008,Kapcsold be a nagyszobában a számítógépet,Csapcsold be a nagyszobában a számítógéplet,0.3333333333333333
C_008_0010_curtain_bathroom_LAO,C_008,A fürdőszobában húz be a függönyt,A fürdőszobában húzd be a függönyt,0.16666666666666666
C_008_0100_heating_room_LAO,C_008,A szobában hőzd lejjebb a radidátor,A szobában húzd eljjebb a radidátor,0.3333333333333333
C_008_0010_vacuum_bathroom_AOL,C_008,Kapcsold be a porszívót a fürdőszobában,Kapcsold be a porszívót a fürdőszobában,0.0
C_008_0010_radio_livingroom_AOL,C_008,Kapcsold be a rádiód a nagyszobában,Kapcsold be a rádiót a nagyszobában,0.16666666666666666
C_008_0010_curtain_smallroom_LAO,C_008,A kisszobában húz be a függönyt,A kisszobában húzd be a függönyt,0.16666666666666666
C_008_0010_heating_corridor_LAO,C_008,A folyojot kapcsold be a radidátort,A fojjót kapcsold be a radidátort,0.16666666666666666
C_009_1000_shutter_bathroom_AOL,C_009,Huzd fel a redönyt fürdőszobaban,Húzd fel a redőnyt fürdőszobában.,0.6
C_009_0010_fan_bathroom_AOL,C_009,Kapcsold be a ventillatort a fürdőszobaban,Csapcsold be a ventilátort a fürdőszobában,0.5
C_009_1000_electricity_livingroom_AOL,C_009,Kapcsold fel a villanyt a nagyszobaban,Kapcsold fel a világítást a gombót.,0.3333333333333333
C_009_0100_electricity_smallroom_AOL,C_009,Kapcsold le a villant a kisszobaban,Kapcsold le a villanyt a kisszobában.,0.3333333333333333
C_009_0100_electricity_corridor_AOL,C_009,Kapcsold le a villant a folyosón,Kapcsold le a villanyt a folyosón.,0.3333333333333333
C_009_0010_window_bathroom_LAO,C_009,A fürdőszobaban zárd be az ablakot,A fürdőszobaban zárd be az ablakot,0.0
C_009_0010_window_smallroom_LAO,C_009,A kisszobaban zárd az ablakot,A kisszobában az ajtót a folyosón.,1.0
C_009_0010_window_kitchen_AOL,C_009,Zárd be az ablakot a konyhában,Zárd be az ablakot a konyhában.,0.16666666666666666
C_009_0010_window_corridor_AOL,C_009,Zárd be az ablakot a folyosón,Zárd be az ablakot a nagyszobában.,0.16666666666666666
C_009_0100_shutter_smallroom_AOL,C_009,Huzd le a redönyt a kisszobaban,Húzd le a redőnyt kisszobában.,0.6666666666666666
C_009_0010_radio_room_AOL,C_009,Kapcsold a rádet a szobaban,Kapcsold be a rádiót a szobában.,0.6
C_009_0100_electricity_room_LAO,C_009,A szobaban kapcsold le a villanyt,A szobában kapcsold le a rádiot,0.3333333333333333
C_009_1000_TV_room_LAO,C_009,A szobába hangosítsd fel a tévét,A szobaban hangosítsd fel a tévét,0.16666666666666666
C_009_0001_computer_smallroom_LAO,C_009,A kisszobában kapcsold ki a zámítógépet,A kisszobában hangapcsold ki a rádiót a nagyszobába.,0.6666666666666666
C_010_0010_fan_room_LAO,C_010,A szobában kapcsold be a ventilátort,A szobában kapcsold be a ventilátor,0.16666666666666666
C_010_0001_computer_smallroom_LAO,C_010,A kisszobába kapcsold ki a számítógépet,A kisszobában kapcsold ki a számítógépet,0.16666666666666666
C_010_0001_curtain_corridor_LAO,C_010,A folyosón húzd szét a függönyt,A folyosón húzd szét a függönyt,0.0
C_010_0010_curtain_bathroom_AOL,C_010,Húzd be a függönyt a füldőszobába,Húzd be a ventallítót a lányom,0.3333333333333333
C_010_0010_window_bathroom_LAO,C_010,A fürdőszobában zárd be az ablakot,A sütőszobába nyisd ki az ablakot,0.5
C_010_0001_radiator_room_AOL,C_010,Kapcsold ki a radiátort a szobába,Kapcsold fel a radiátort a szobában,0.3333333333333333
C_010_0010_fan_kitchen_LAO,C_010,A konyhába kapcsold be a ventilátort,A konyhában kapcsold be a ventilátort,0.16666666666666666
C_010_1000_electricity_corridor_AOL,C_010,Kapcsold fel a villanyt a folyosón,Kapcsold fel a villanyt a folyosón,0.0
C_010_0001_curtain_kitchen_AOL,C_010,Húzd szét a függönyt a konyhába,Húzd szét a függönyt a lányom,0.16666666666666666
C_010_0010_window_corridor_AOL,C_010,Zárd be az ablakot a folyosón,Zárd be az ablakot a folyosón,0.0
C_010_1000_radiator_livingroom_AOL,C_010, Húzd fel a radiátort a nagycobába,Húzd fel a radiátort a nagyszobába,0.16666666666666666
C_010_0100_electricity_bathroom_LAO,C_010,A füldőszobában kapcsold le a villanyt,A fürdőszobában kapcsold le a villanyt,0.16666666666666666
C_010_0010_door_room_AOL,C_010,Zárd be az ajtót a szobába,Számd az ajtószobába,0.8333333333333334
C_010_0100_radiator_livingroom_AOL,C_010,Húzd le a radiátort a nagycobába,Húzd le a radiátort a nagycobába,0.0
C_010_0100_electricity_kitchen_LAO,C_010,A konyhában kapcsold le a villanyt,A konyhában kapcsold le a villanyt,0.0
C_010_0010_toaster_kitchen_OAL,C_010,A kenyérpirítót kapcsold be a konyhába,Kenyérpirítót kapcsold be konyhában,0.6666666666666666
C_010_0010_curtain_corridor_LAO,C_010,A folyosón húzd be a fügönyt,A folyosón húzd le a fűtést,0.3333333333333333
C_010_0010_vacuum_livingroom_AOL,C_010,Kapcsold be a porszívót a nagycobába,Kapcsold be a porszívót a nagycobában,0.16666666666666666
C_010_0010_door_kitchen_AOL,C_010,Zárd be az ajtót a konyhában,Huzárd be az ajtót a konyhába hangosítsd,0.5
C_010_0010_window_room_LAO,C_010,A szobában zárd be az ablakot,A szobában zárd be az ablakot,0.0
C_010_0001_vacuum_livingroom_AOL,C_010,Kapcsold ki a porszívót a nagycobába,Csapcsold ki a porszívót a nagycobában,0.3333333333333333
C_010_1111_radio_corridor_AOL,C_010,Válts csatornát a rádión a folyosón,Válts csatornát a rádión a folyosón,0.0
C_010_0010_radiator_bathroom_AOL,C_010,Kapcsold be a radiátort a fühldőszobába,Csatord be a radiátort a fürdőszobába,0.3333333333333333
C_010_0100_radiator_room_AOL,C_010,Húzd le a radiátort a szobába,Húzd le a radiátort a szobába,0.0
C_010_0100_radiator_bathroom_AOL,C_010,Húzd le a radiátort a fühldőszobába,Zárd be a radiátort a fürdőszobába húzd,0.6666666666666666
C_010_1000_electricity_kitchen_AOL,C_010,Kapcsold fel a villanyt a konyhában,Kapcsold fel a villanyt a konyhában,0.0
C_010_0010_curtain_room_AOL,C_010,Húzd be a függönyt a szobában,Húzd le a fűtést a szobába,0.5
C_010_1000_shutter_corridor_LAO,C_010,A folyosón húzd fel a ledőnyöket,A folyosón húzd fel a redőnyöket,0.16666666666666666
C_011_1000_electricity_kitchen_AOL,C_011,Kapcsold fel a villanyt a konyhába,Kapcsold fel a villanyt a konyhába,0.0
C_011_1111_TV_smallroom_AOL,C_011,Csatornát váltson a tévében a kisszobában,Csatornát váltson a tévénben a kisszobában,0.16666666666666666
C_011_0001_fan_livingroom_AOL,C_011,Kapcsold ki a ventilátort a nagyszobába,Kapcsold ki a ventillátort a nagyszobába,0.16666666666666666
C_011_0001_fan_smallroom_AOL,C_011,Kapcsold ki a ventilátört a kisszobába,Kapcsold ki a ventilátort a kisszobába,0.16666666666666666
C_011_0001_door_room_LAO,C_011,A szobába nyisd ki az ajtót,A szobába nyisd ki az ajtót,0.0
C_011_1000_TV_corridor_AOL,C_011,Hangosítsd fel a tévét a folyosóba,Hangosítsd fel a tévét a folyosón van,0.3333333333333333
C_011_0010_curtain_bathroom_AOL,C_011,Húzd be a függönyt a fürdőszobába,Húzd be a függönyt a fürdőszobába,0.0
C_011_0001_TV_room_AOL,C_011,Hangosítsd ki a tévét a szobába,Hangosítsd ki a tévét a szobába,0.0
C_011_0100_TV_livingroom_LAO,C_011,A nagyszobában hangosítsd le a tévét,A nagyszobában hangosítsd le a tévét,0.0
C_011_1000_shutter_corridor_AOL,C_011,Húzd fel a redőnyt a folyosóra,Húzd fel a redőnyt a folyosóra,0.0
C_011_0100_shutter_room_LAO,C_011,A szobába engedd le a redőnyt,A szobában engedd le a redőnyt,0.16666666666666666
C_011_0100_shutter_bathroom_AOL,C_011,Húzd le a redőnyt a fürdőszobába,Húzd le a redőnyt a fürdőszobába,0.0
C_011_0010_door_bathroom_AOL,C_011,Zárd ki az ajtót a fürdőszobába,Zár ki az ajtót a fürdőszobába,0.16666666666666666
C_011_0100_shutter_kitchen_AOL,C_011,Húzd le a redőnyt a konyhába,Húzd le a redőnyt a konyhába,0.0
C_011_0001_oven_kitchen_LAO,C_011,A konyhában kapcsold ki a sütőt,A konyhában kapcsold ki a sütőt,0.0
C_011_0100_electricity_bathroom_AOL,C_011,Kapcsold le a villanyt a fürdőszobában,Kapcsold le a villanyt a fürdőszobában,0.0
C_011_0100_electricity_smallroom_AOL,C_011,Kapcsold le a villanyt a kisszobába,Kapcsold le a villanyt a kisszobába,0.0
C_013_1000_corridor_electricity_LAO,C_013,A folyosóban kapcsold fel a villanyt,A mosóban kapcsold fel a villanyt,0.16666666666666666
C_013_0001_bathroom_washingmachine_LAO,C_013,A fürdőszobában kapcsold be a mosógépet harminc fokon,A fürdőszobában kapcsold be a mosógép hetet harminc fokra,0.375
C_013_0001_livingroom_curtain_AOL,C_013,Húzd szét a függönyt a nagyszobában,Húzd szét a függönyt a nagyszobában,0.0
C_013_0010_smallroom_curtain_AOL,C_013,Húzd be a függönyt a kisszobában,Húzd be a függönyt a kisszobában,0.0
C_013_0001_corridor_fan_AOL,C_013,Kapcsold ki a ventilátort a folyosóban,Kapcsold ki a ventilátort a folyosóban,0.0
C_013_0100_bathroom_radiator_LAO,C_013,Fürdőszobában vedd lejjebb a radiátort,Fürdőszobában vedd lejjebb a radiátort,0.0
C_013_0010_smallroom_window_LAO,C_013,Kisszobában zárjuk be az ablakot,Kisszobában zárjuk be az ablakot,0.0
C_013_1111_bathroom_TV_AOL,C_013,Váltsd csatornát a tévén a fürdőszobába,Váltsd csatornát a tévén a fürdőszobában,0.16666666666666666
C_013_0010_room_curtain_LAO,C_013,Szobában húzd be a függönyt,Szobában húzd be a függönyt.,0.2
C_013_0001_livingroom_fan_AOL,C_013,Kapcsold ki a ventilátort a nagyszobában ,Kapcsold ki a ventillátort a nagyszobában,0.16666666666666666
C_013_0001_kitchen_radiator_LAO,C_013,Konyhában kapcsold ki a a radiátort,Konyhában kapcsold ki a radiátor.,0.3333333333333333
C_013_1111_room_TV_AOL,C_013,Váltsd csatornát a tévén a szobába,Válts csatornát a tévén szobában,0.5
C_013_0001_livingroom_curtain_LAO,C_013,Nagyszobában húzd szét a függönyt,Nagyszobában húzd szét a függönyt,0.0
C_013_0100_livingroom_radiator_LAO,C_013,Nagyszobában vedd lejjebb a radiátort,Nagyszobában emeld lejjebb a radiátort.,0.4
C_013_0010_smallroom_computer_AOL,C_013,Kapcsold be a számítógépet a kisszobában,Kapcsold be a számítógépet a kisszobában,0.0
